Year;TSU;EQ;Name;Location;Country;Continent;Latitude;Longitude;Elevation;Type;Status;Time;VEI;Agent;DEATHS;MISSING;INJURIES;DAMAGE_MILLIONS_DOLLARS;HOUSES_DESTROYED;COEF_LIFE_COST;TOTAL_LIFE_COST;TOTAL_COST
2010;;;Tungurahua;Ecuador;Ecuador;Amerique latine;-1.467;-78.442;5023;Stratovolcano;Historical;D1;3;;0;0;0;0;0;0.77;0;0
2010;;;Eyjafjallajokull;Iceland-S;Iceland;Europe;63.63;-19.62;1666;Stratovolcano;Historical;D1;2;;2;0;0;0;0;0.69;4.14;4.14
2010;;;Pacaya;Guatemala;Guatemala;Amerique latine;14.381;-90.601;2552;Complex volcano;Historical;D1;1;T;1;3;0;0;3;0.77;2.31;2.31
2010;TSU;EQ;Sarigan;Mariana Is-C Pacific;United States;Amerique du Nord;16.708;145.78;538;Stratovolcano;Holocene;U;;;0;0;0;0;0;5.57;0;0
2010;;;Karangetang [Api Siau];Sangihe Is-Indonesia;Indonesia;Asie du Sud;2.78;125.48;1784;Stratovolcano;Historical;D1;3;;4;0;5;0;0;0.69;8.28;8.28
2010;;;Sinabung;Sumatra;Indonesia;Asie du Sud;3.17;98.392;2460;Stratovolcano;Holocene;U;;;2;0;0;0;0;0.69;4.14;4.14
2010;;;Merapi;Java;Indonesia;Asie du Sud;-7.542;110.442;2947;Stratovolcano;Historical;D1;;;367;0;277;600;0;0.69;759.69;1359.69
2010;;;Tungurahua;Ecuador;Ecuador;Amerique latine;-1.467;-78.442;5023;Stratovolcano;Historical;D1;3;;0;0;0;0;0;0.77;0;0
2010;;;Tengger Caldera;Java;Indonesia;Asie du Sud;-7.942;112.95;2329;Stratovolcano;Historical;D1;;;0;0;0;0;0;0.69;0;0
2011;;;Merapi;Java;Indonesia;Asie du Sud;-7.542;110.442;2947;Stratovolcano;Historical;D1;;M;1;0;1;0;0;0.69;2.07;2.07
2011;;;Kirishima;Kyushu-Japan;Japan;Asie de l'Est;31.93;130.87;1700;Shield volcano;Historical;D1;;;0;0;0;0;0;0.69;0;0
2011;;;Bulusan;Luzon-Philippines;Philippines;Asie du Sud;12.77;124.05;1565;Stratovolcano;Historical;D1;2;;1;0;0;0;0;0.69;2.07;2.07
2011;;;Karangetang [Api Siau];Sangihe Is-Indonesia;Indonesia;Asie du Sud;2.78;125.48;1784;Stratovolcano;Historical;D1;;;0;0;0;0;0;0.69;0;0
2011;;;Tungurahua;Ecuador;Ecuador;Amerique latine;-1.467;-78.442;5023;Stratovolcano;Historical;D1;4;;0;0;0;0;0;0.77;0;0
2011;;;Puyehue;Chile-C;Chile;Amerique latine;-40.59;-72.117;2236;Stratovolcano;Holocene;U;4;;0;0;0;0;0;0.77;0;0
2011;;;Nabro;Africa-NE;Eritrea;Afrique subsaharienne;13.37;41.7;2218;Stratovolcano;Holocene;Unknown;3;;31;0;0;0;0;0.13;12.09;12.09
2011;;;Katla;Iceland-S;Iceland;Europe;63.63;-19.05;1512;Subglacial volcano;Historical;D2;;;0;0;0;0;0;0.69;0;0
2011;;;Lokon-Empung;Sulawesi-Indonesia;Indonesia;Asie du Sud;1.358;124.792;1580;Stratovolcano;Historical;D1;;;1;0;0;0;0;0.69;2.07;2.07
2011;;;Gamalama;Halmahera-Indonesia;Indonesia;Asie du Sud;.8;127.325;1715;Stratovolcano;Historical;D1;3;m;4;0;0;0;0;0.69;8.28;8.28
2012;;;Kilauea;Hawaiian Is;United States;Amerique du Nord;19.425;-155.292;1222;Shield volcano;Historical;D1;;;0;0;0;0;0;5.57;0;0
2012;;;Kilauea;Hawaiian Is;United States;Amerique du Nord;19.425;-155.292;1222;Shield volcano;Historical;D1;;L;0;0;0;0;1;5.57;0;0
2012;;;Tolbachik;Kamchatka;Russia;Europe;55.83;160.33;3682;Shield volcano;Historical;D1;;;0;0;0;0;0;0.69;0;0
2013;;;Merapi;Java;Indonesia;Asie du Sud;-7.542;110.442;2947;Stratovolcano;Historical;D1;;M;1;0;1;0;0;0.69;2.07;2.07
2013;;;Paluweh;Lesser Sunda Is;Indonesia;Amerique du Nord;-8.32;121.708;875;Stratovolcano;Historical;D1;;;0;0;0;0;0;5.57;0;0
2013;;;Mayon;Luzon-Philippines;Philippines;Amerique du Nord;13.257;123.685;2462;Stratovolcano;Historical;D1;;;5;0;8;0;0;5.57;83.55;83.55
2013;;;Paluweh;Lesser Sunda Is;Indonesia;Amerique du Nord;-8.32;121.708;875;Stratovolcano;Historical;D1;3;;5;0;0;0;0;5.57;83.55;83.55
2013;;;Ubinas;Peru;Peru;Amerique latine;-16.355;-70.903;5672;Stratovolcano;Historical;D1;;;0;0;0;0;0;0.77;0;0
2013;;;Sakura-jima;Kyushu-Japan;Japan;Asie de l'Est;31.58;130.67;1117;Stratovolcano;Historical;D1;;;0;0;0;0;0;0.69;0;0
2013;;;Sinabung;Sumatra;Indonesia;Amerique du Nord;3.17;98.392;2460;Stratovolcano;Holocene;U;2;;0;0;0;0;0;5.57;0;0
2013;;;Okataina;New Zealand;New Zealand;Asie du Sud;-38.12;176.5;1111;Lava dome;Historical;D1;;G;1;0;0;0;0;0.69;2.07;2.07
2014;;;Sinabung;Sumatra;Indonesia;Asie du Sud;3.17;98.392;2460;Stratovolcano;Holocene;U;;;17;0;3;0;0;0.69;35.19;35.19
2014;;;Kelut;Java;Indonesia;Asie du Sud;-7.93;112.308;1731;Stratovolcano;Historical;D1;;;7;0;0;0;4098;0.69;14.49;14.49
2014;;;On-take;Honshu-Japan;Japan;Asie de l'Est;35.9;137.48;3063;Complex volcano;Historical;D1;3;;55;0;70;0;0;0.69;113.85;113.85
2014;;;Kilauea;Hawaiian Is;United States;Amerique du Nord;19.425;-155.292;1222;Shield volcano;Historical;D1;;;0;0;0;14.5;1;5.57;0;14.5
2014;;;Fogo;Cape Verde Is;Cape Verde;Afrique du Nord;14.95;-24.35;2829;Stratovolcano;Historical;D1;;;0;0;0;0;230;0.69;0;0
2014;;;Gamalama;Halmahera-Indonesia;Indonesia;Asie du Sud;.8;127.325;1715;Stratovolcano;Historical;D1;;;1;0;4;0;0;0.69;2.07;2.07
2015;;;Sinabung;Sumatra;Indonesia;Asie du Sud;3.17;98.392;2460;Stratovolcano;Holocene;U;;;0;0;0;0;0;0.69;0;0
2015;;;Calbuco;Chile-S;Chile;Amerique latine;-41.326;-72.614;2003;Stratovolcano;Historical;D2;;;0;0;0;0;0;0.77;0;0
2015;;;Karangetang [Api Siau];Sangihe Is-Indonesia;Indonesia;Asie du Sud;2.78;125.48;1784;Stratovolcano;Historical;D1;;;0;0;0;0;0;0.69;0;0
2015;;;Manam;New Guinea-NE of;Papua New Guinea;Asie du Sud;-4.1;145.061;1807;Stratovolcano;Historical;D1;2;;0;0;2;0;0;0.69;0;0
2015;;;Sinabung;Sumatra;Indonesia;Asie du Sud;3.17;98.392;2460;Stratovolcano;Holocene;U;;M;1;0;0;0;0;0.69;2.07;2.07
2015;;;Okataina;New Zealand;New Zealand;Asie du Sud;-38.12;176.5;1111;Lava dome;Historical;D1;;I;1;0;0;0;0;0.69;2.07;2.07
2016;;;Sinabung;Sumatra;Indonesia;Asie du Sud;3.17;98.392;2460;Stratovolcano;Holocene;U;;;1;0;4;0;3;0.69;2.07;2.07
2016;;;Sinabung;Sumatra;Indonesia;Asie du Sud;3.17;98.392;2460;Stratovolcano;Holocene;U;;;7;0;3;100;0;0.69;14.49;114.49
2016;;;Yellowstone;US-Wyoming;United States;Amerique du Nord;44.43;-110.67;2805;Caldera;Tephrochronology;D7;;;1;0;0;0;0;5.57;16.71;16.71
2016;;;Rinjani;Lesser Sunda Is;Indonesia;Asie du Sud;-8.42;116.47;3726;Stratovolcano;Historical;D1;;;0;44;0;0;0;0.69;0;0
2016;;;Aso;Kyushu-Japan;Japan;Asie de l'Est;32.88;131.1;1592;Caldera;Historical;D1;;T;0;0;0;0;0;0.69;0;0
2017;;;Etna;Italy;Italy;Europe;37.734;15.004;3350;Stratovolcano;Historical;D1;;P;0;0;10;0;0;0.69;0;0
2017;;;Sinabung;Sumatra;Indonesia;Asie du Sud;3.17;98.392;2460;Stratovolcano;Holocene;U;2;P;0;0;0;0;0;0.69;0;0
2017;;;Fuego;Guatemala;Guatemala;Amerique latine;14.473;-90.88;3763;Stratovolcano;Historical;D1;2;P;0;0;0;0;0;0.77;0;0
2017;;;Dieng Volc Complex;Java;Indonesia;Asie du Sud;-7.2;109.92;2565;Complex volcano;Historical;D1;;;8;0;11;0;0;0.69;16.56;16.56
2017;;;Campi Flegrei;Italy;Italy;Europe;40.827;14.139;458;Caldera;Historical;D5;;;3;0;0;0;0;0.69;6.21;6.21
2017;;;Aoba;Vanuatu-SW Pacific;Vanuatu;Asie du Sud;-15.4;167.83;1496;Shield volcano;Historical;D1;;T;0;0;0;0;0;0.69;0;0
2017;;;Merapi;Java;Indonesia;Asie du Sud;-7.542;110.442;2947;Stratovolcano;Historical;D1;;A;8;0;8;0;0;0.69;16.56;16.56
2017;;;Sinabung;Sumatra;Indonesia;Asie du Sud;3.17;98.392;2460;Stratovolcano;Holocene;U;;T;0;0;0;0;0;0.69;0;0
2018;;;Kadovar;New Guinea-NE of;Papua New Guinea;Asie du Sud;-3.62;144.62;365;Stratovolcano;Holocene;U;;T;0;0;0;0;0;0.69;0;0
2018;;;Mayon;Luzon-Philippines;Philippines;Asie du Sud;13.257;123.685;2462;Stratovolcano;Historical;D1;;T.P;0;0;1972;3.72;0;0.69;0;3.72
2018;;;Kusatsu-Shirane;Honshu-Japan;Japan;Asie de l'Est;36.62;138.55;2176;Stratovolcano;Historical;D1;;T;1;0;11;0;0;0.69;2.07;2.07
2018;;;Kilauea;Hawaiian Is;United States;Amerique du Nord;19.425;-155.292;1222;Shield volcano;Historical;D1;1;G;1;0;3;0;0;5.57;16.71;16.71
2018;TSU;;Kadovar;New Guinea-NE of;Papua New Guinea;Asie du Sud;-3.62;144.62;365;Stratovolcano;Holocene;U;;W;0;0;0;0;0;0.69;0;0
2018;;;Ijen;Java;Indonesia;Asie du Sud;-8.058;114.242;2799;Stratovolcano;Historical;D1;;G;0;0;30;0;0;0.69;0;0
2018;;;Kilauea;Hawaiian Is;United States;Amerique du Nord;19.425;-155.292;1222;Shield volcano;Historical;D1;1;L;0;0;0;0;2;5.57;0;0
2018;;;Aoba;Vanuatu-SW Pacific;Vanuatu;Asie du Sud;-15.4;167.83;1496;Shield volcano;Historical;D1;3;T.G;4;0;0;0;0;0.69;8.28;8.28
