Year;TSU;EQ;Name;Location;Country;Latitude;Longitude;Elevation;Type;Status;Time;VEI;Agent;DEATHS;MISSING;INJURIES;DAMAGE_MILLIONS_DOLLARS;HOUSES_DESTROYED
2010;;;Tungurahua;Ecuador;Ecuador;-1.467;-78.442;5023;Stratovolcano;Historical;D1;3;;;;;;
2010;;;Eyjafjallajokull;Iceland-S;Iceland;63.63;-19.62;1666;Stratovolcano;Historical;D1;2;;2;;;;
2010;;;Pacaya;Guatemala;Guatemala;14.381;-90.601;2552;Complex volcano;Historical;D1;1;T;1;3;;;3
2010;TSU;EQ;Sarigan;Mariana Is-C Pacific;United States;16.708;145.78;538;Stratovolcano;Holocene;U;;;;;;;
2010;;;Karangetang [Api Siau];Sangihe Is-Indonesia;Indonesia;2.78;125.48;1784;Stratovolcano;Historical;D1;3;;4;;5;;
2010;;;Sinabung;Sumatra;Indonesia;3.17;98.392;2460;Stratovolcano;Holocene;U;;;2;;;;
2010;;;Merapi;Java;Indonesia;-7.542;110.442;2947;Stratovolcano;Historical;D1;;;367;;277;600;
2010;;;Tungurahua;Ecuador;Ecuador;-1.467;-78.442;5023;Stratovolcano;Historical;D1;3;;;;;;
2010;;;Tengger Caldera;Java;Indonesia;-7.942;112.95;2329;Stratovolcano;Historical;D1;;;;;;;
2011;;;Merapi;Java;Indonesia;-7.542;110.442;2947;Stratovolcano;Historical;D1;;M;1;;1;;
2011;;;Kirishima;Kyushu-Japan;Japan;31.93;130.87;1700;Shield volcano;Historical;D1;;;;;;;
2011;;;Bulusan;Luzon-Philippines;Philippines;12.77;124.05;1565;Stratovolcano;Historical;D1;2;;1;;;;
2011;;;Karangetang [Api Siau];Sangihe Is-Indonesia;Indonesia;2.78;125.48;1784;Stratovolcano;Historical;D1;;;;;;;
2011;;;Tungurahua;Ecuador;Ecuador;-1.467;-78.442;5023;Stratovolcano;Historical;D1;4;;;;;;
2011;;;Puyehue;Chile-C;Chile;-40.59;-72.117;2236;Stratovolcano;Holocene;U;4;;;;;;
2011;;;Nabro;Africa-NE;Eritrea;13.37;41.7;2218;Stratovolcano;Holocene;Unknown;3;;31;;;;
2011;;;Katla;Iceland-S;Iceland;63.63;-19.05;1512;Subglacial volcano;Historical;D2;;;;;;;
2011;;;Lokon-Empung;Sulawesi-Indonesia;Indonesia;1.358;124.792;1580;Stratovolcano;Historical;D1;;;1;;;;
2011;;;Gamalama;Halmahera-Indonesia;Indonesia;.8;127.325;1715;Stratovolcano;Historical;D1;3;m;4;;;;
2012;;;Kilauea;Hawaiian Is;United States;19.425;-155.292;1222;Shield volcano;Historical;D1;;;;;;;
2012;;;Kilauea;Hawaiian Is;United States;19.425;-155.292;1222;Shield volcano;Historical;D1;;L;;;;;1
2012;;;Tolbachik;Kamchatka;Russia;55.83;160.33;3682;Shield volcano;Historical;D1;;;;;;;
2013;;;Merapi;Java;Indonesia;-7.542;110.442;2947;Stratovolcano;Historical;D1;;M;1;;1;;
2013;;;Paluweh;Lesser Sunda Is;Indonesia;-8.32;121.708;875;Stratovolcano;Historical;D1;;;;;;;
2013;;;Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462;Stratovolcano;Historical;D1;;;5;;8;;
2013;;;Paluweh;Lesser Sunda Is;Indonesia;-8.32;121.708;875;Stratovolcano;Historical;D1;3;;5;;;;
2013;;;Ubinas;Peru;Peru;-16.355;-70.903;5672;Stratovolcano;Historical;D1;;;;;;;
2013;;;Sakura-jima;Kyushu-Japan;Japan;31.58;130.67;1117;Stratovolcano;Historical;D1;;;;;;;
2013;;;Sinabung;Sumatra;Indonesia;3.17;98.392;2460;Stratovolcano;Holocene;U;2;;;;;;
2013;;;Okataina;New Zealand;New Zealand;-38.12;176.5;1111;Lava dome;Historical;D1;;G;1;;;;
2014;;;Sinabung;Sumatra;Indonesia;3.17;98.392;2460;Stratovolcano;Holocene;U;;;17;;3;;
2014;;;Kelut;Java;Indonesia;-7.93;112.308;1731;Stratovolcano;Historical;D1;;;7;;;;4098
2014;;;On-take;Honshu-Japan;Japan;35.9;137.48;3063;Complex volcano;Historical;D1;3;;55;;70;;
2014;;;Kilauea;Hawaiian Is;United States;19.425;-155.292;1222;Shield volcano;Historical;D1;;;;;;14.5;1
2014;;;Fogo;Cape Verde Is;Cape Verde;14.95;-24.35;2829;Stratovolcano;Historical;D1;;;;;;;230
2014;;;Gamalama;Halmahera-Indonesia;Indonesia;.8;127.325;1715;Stratovolcano;Historical;D1;;;1;;4;;
2015;;;Sinabung;Sumatra;Indonesia;3.17;98.392;2460;Stratovolcano;Holocene;U;;;;;;;
2015;;;Calbuco;Chile-S;Chile;-41.326;-72.614;2003;Stratovolcano;Historical;D2;;;;;;;
2015;;;Karangetang [Api Siau];Sangihe Is-Indonesia;Indonesia;2.78;125.48;1784;Stratovolcano;Historical;D1;;;;;;;
2015;;;Manam;New Guinea-NE of;Papua New Guinea;-4.1;145.061;1807;Stratovolcano;Historical;D1;2;;;;2;;
2015;;;Sinabung;Sumatra;Indonesia;3.17;98.392;2460;Stratovolcano;Holocene;U;;M;1;;;;
2015;;;Okataina;New Zealand;New Zealand;-38.12;176.5;1111;Lava dome;Historical;D1;;I;1;;;;
2016;;;Sinabung;Sumatra;Indonesia;3.17;98.392;2460;Stratovolcano;Holocene;U;;;1;;4;;3
2016;;;Sinabung;Sumatra;Indonesia;3.17;98.392;2460;Stratovolcano;Holocene;U;;;7;;3;100;
2016;;;Yellowstone;US-Wyoming;United States;44.43;-110.67;2805;Caldera;Tephrochronology;D7;;;1;;;;
2016;;;Rinjani;Lesser Sunda Is;Indonesia;-8.42;116.47;3726;Stratovolcano;Historical;D1;;;;44;;;
2016;;;Aso;Kyushu-Japan;Japan;32.88;131.1;1592;Caldera;Historical;D1;;T;;;;;
2017;;;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;Historical;D1;;P;;;10;;
2017;;;Sinabung;Sumatra;Indonesia;3.17;98.392;2460;Stratovolcano;Holocene;U;2;P;;;;;
2017;;;Fuego;Guatemala;Guatemala;14.473;-90.88;3763;Stratovolcano;Historical;D1;2;P;;;;;
2017;;;Dieng Volc Complex;Java;Indonesia;-7.2;109.92;2565;Complex volcano;Historical;D1;;;8;;11;;
2017;;;Campi Flegrei;Italy;Italy;40.827;14.139;458;Caldera;Historical;D5;;;3;;;;
2017;;;Aoba;Vanuatu-SW Pacific;Vanuatu;-15.4;167.83;1496;Shield volcano;Historical;D1;;T;;;;;
2017;;;Merapi;Java;Indonesia;-7.542;110.442;2947;Stratovolcano;Historical;D1;;A;8;;8;;
2017;;;Sinabung;Sumatra;Indonesia;3.17;98.392;2460;Stratovolcano;Holocene;U;;T;;;;;
2018;;;Kadovar;New Guinea-NE of;Papua New Guinea;-3.62;144.62;365;Stratovolcano;Holocene;U;;T;;;;;
2018;;;Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462;Stratovolcano;Historical;D1;;T,P;;;1972;3.72;
2018;;;Kusatsu-Shirane;Honshu-Japan;Japan;36.62;138.55;2176;Stratovolcano;Historical;D1;;T;1;;11;;
2018;;;Kilauea;Hawaiian Is;United States;19.425;-155.292;1222;Shield volcano;Historical;D1;1;G;1;;3;;
2018;TSU;;Kadovar;New Guinea-NE of;Papua New Guinea;-3.62;144.62;365;Stratovolcano;Holocene;U;;W;;;;;
2018;;;Ijen;Java;Indonesia;-8.058;114.242;2799;Stratovolcano;Historical;D1;;G;;;30;;
2018;;;Kilauea;Hawaiian Is;United States;19.425;-155.292;1222;Shield volcano;Historical;D1;1;L;;;;;2
2018;;;Aoba;Vanuatu-SW Pacific;Vanuatu;-15.4;167.83;1496;Shield volcano;Historical;D1;3;T,G;4;;;;
;;;;;Indonesia;;;2228,84210526316;;;;2,64285714285714;;20,5769230769231;44;134,611111111111;350;866,6